id,brewery_id,name
489,590,Cow Palace Scotch Ale
490,590,Toil & Trubbel Dubbel
491,590,Abtskelder Tripel
492,590,All-American Gold
493,511,Curator Dunkler Doppelbock
494,511,Kloster Dunkel
495,511,Kloster Edel-Hell
496,594,Teton Ale
497,534,Pilsener
498,230,Nickelbier
499,216,Edel-Pils
500,845,Weiss-Gold
501,225,Zwickelbier
502,225,Pils
503,225,Spezial
504,1120,WeiÃŸe
505,1120,Schwarzbier
506,1120,Pils
507,1120,Original NÂº 1 NaturtrÃ¼b
508,74,Schwarze
509,74,Blonde
510,74,Rotgold-Pils
511,30,Spezial
512,30,Pils
513,204,Coronator Helle Doppelbock
514,204,See-Weizen Bio-Hefeweizen
515,204,Kellerpils
516,204,Pils
517,204,Kronenbier
518,1146,Dunkles Weissbier
519,1146,Festbier
520,1146,Dunkles Lager
521,1146,Weizen
522,1146,BrÃ¤ustatt Pils
523,1146,BrÃ¤ustatt Gold
524,205,Altbairisch Dunkel
525,671,Pickled Santa
526,727,Manchester Star Ale
527,189,Moinette Brune
528,192,Chocolat
529,190,BiÃ¨re de NoÃ«l
530,164,BiÃ¨re de Gamme
531,129,Panil BarriquÃ©e
532,183,CuvÃ©e du 7Ã¨me
533,192,Dark White
534,501,Festive Ale 2006
535,44,Green Valley Stone Mill Pale Ale
536,44,Green Valley Wild Hop Lager
537,806,LÃ¶wen Weisse
538,1198,Herbstbier
539,1198,Altbier
540,1198,Huusbier
541,217,Leermond Bier
542,649,Original Ittinger KlosterbrÃ¤u
543,233,Huusbier Schwarz
544,233,Oktoberfest
545,233,Weizentrumpf
546,233,Honey Brown Ale
547,233,Huusbier Hell
548,748,KÃ¶nig Ludwig Weissbier Dunkel
549,877,Gambrinus
550,877,NaturtrÃ¼bes Kellerbier
551,1116,Stout
552,1116,Weizen
553,1116,Spezial
554,1116,Naturtrubes
555,219,St. Galler Landbier
556,569,Maisbier
557,569,Weizenbier
558,569,Dunkel
559,569,Hell
560,877,Spezial
561,1344,Single-Malt-Bier
562,1344,Ur-Pils
563,1344,Ur-Weizen
564,1344,Hanf
565,1344,Dunkel
566,1344,Hell
567,1344,Blond
568,213,Dunkle Weisse
569,750,WalderBrÃ¤u Export
570,216,Hefe-Weizen
571,216,Edel-Spezial
572,479,Alt-DÃ¼rrener-WeiÃŸe
573,479,Edelweiss
574,479,Kristall-Weizen
575,479,Hofgutsbier
576,479,Humpis-Original Naturtrub
577,568,Hefeweizen
578,568,Spezial
579,568,Kellerpils
580,451,Sanwald Dunkelweizen
581,451,Das Schwarze / Dark
582,1083,Hecker Dunkel
583,1083,Kristall Weizen
584,1083,Hefe Weizen Dunkel
585,1083,Schimmele Hefe Pils
586,1083,Hefe Weizen Hell
587,1083,Spezial-Export
588,1083,Edel-Pils
589,230,Herbstbeer
590,230,Weizen
591,230,Kupfer
592,230,Messing
593,905,Saison
594,285,Duinen Dubbel
595,165,Castelain St.Amand French Country Ale
596,357,Red Racer India Pale Ale
597,357,Steelhead Stout
598,357,Iceberg Copper Bock
599,357,Boomers Red Ale
600,357,Springboard Lager
601,119,Light Lager
602,119,Old Sullivan Porter
603,119,Brotherhood Black & Tan
604,119,Clover Pale Ale
605,119,Lager
606,119,Red Truck Ale
607,120,Dry Stout
608,120,Extra Special Bitter
609,120,Nut Brown Ale
610,120,Pale Ale
611,120,Vienna Lager
612,120,Pilsner
613,120,Blonde Ale
614,1085,Cream Ale
615,1085,Blonde Ale
616,1085,Special Lager
617,1085,Pale Ale
618,1034,Pale Ale
619,788,Beacon India Pale Ale
620,1237,Traditional India Pale Ale
621,1237,Mad Scow Stout
622,1237,Red Truck Ale
623,1237,Two Lions Pale Ale
624,1237,Baden Powell Cream Ale
625,1237,Dominion Lager
626,1381,Yippee IPA
627,1381,Downtown Brown
628,453,Tropical Lager
629,453,Honey Brown
630,453,IPA
631,453,Game Day
632,453,Red Truck Ale
633,453,Red Truck Lager
634,828,Pale Ale
635,828,Premium Gold
636,873,India Pale Ale
637,873,Oatmeal Stout
638,873,Cream Ale
639,873,Blonde Draft
640,598,Hefeweizen
641,598,Island Lager
642,598,English Bay Pale Ale
643,598,Kitsilano Maple Cream Ale
644,598,Cypress Honey Lager
645,457,Pelican Bay Brown
646,457,Marina Light Lager
647,457,Haupenthal Hefeweizen
648,457,Old Bridge Dark Lager
649,457,Johnston Pilsener
650,457,Cartwright Pale Ale
651,1307,15
652,202,Gueuze Bio / Organic Gueuze
653,1178,Hopluia
654,995,Czech Premium Lager
655,935,Bobby
656,590,1916 Irish Stout
657,590,Model-A-Tor Doppelbock
658,590,Wilsteraner Altbier
659,590,Eighty-Shilling Scottish Ale (80/-)
660,647,Dark Lager
661,647,Lager Beer
662,647,Premium Light Lager Beer
663,236,Trademark English Pale
664,829,Jolly Roger
665,829,Firkin IPA
666,829,Portage Bay Pilsener
667,829,Old Seattle Lager
668,829,Nightwatch Dark Ale
669,829,Islander Pale Ale
670,829,Salmon Bay E.S.B.
671,829,Clipper Gold Hefeweizen
672,829,Flagship Red Alt Ale
673,123,Slam Dunkelweizen
674,123,Trombipulator
675,123,Faux Paddy Irish Ale
676,123,Black Mulligan Dublin Stout
677,123,Coal Creek Porter
678,123,Atlas Amber Ale
679,123,Prime Time Pale Ale
680,123,Snow Melt Nitrogen Pale
681,123,Old Rip Oatmeal Stout
682,123,Scarlet Fire IPA
683,496,The Immortal IPA
684,496,Whoville Weizenbock
685,497,Warminster Special Bitter
686,497,AK-47 Malt Liquor
687,497,Foster Child Australian Lager
688,496,Avatar Jasmine IPA
689,496,BiFrÃ¶st Winter Ale
690,496,Elysian Fields Pale Ale
691,496,Loki
692,496,Zephyrus Pilsner
693,496,Perseus Porter
694,496,The Wise ESB
695,496,Ambrosia Maibock
696,496,BÃªte Blanche
697,984,Auld Acquaintance Spiced Ale
698,984,India Pale Ale
699,984,Oatmeal Stout
700,984,Kilt Lifter Scotch Ale
701,984,Pale Ale
702,984,Weisse
703,1296,Imperial Stout
704,1296,Imperial I.P.A.
705,1296,India Pale Ale
706,1296,N.W. Pale Ale
707,1296,Bock
708,1296,Weissbier
709,1296,Saison
710,1296,Pilsner
711,842,Nebraska Bitter
712,842,Irish Stout
713,842,I.M. Pale
714,842,Wheat Beer
715,842,Golden
716,842,Porter
717,842,Terminator Stout
718,842,India Pale Ale
719,842,Hammerhead Ale
720,445,Icebreaker Barley Wine
721,445,Industrial IPA
722,445,IPA
723,445,Possession Porter
724,445,Steamer Glide Stout
725,445,E.S.B.
726,445,Brown Ale
727,445,Golden Ale
728,445,Hefe-Weizen
729,445,Lighthouse Ale
730,475,Golden
731,1124,Gale Force IPA
732,1124,Porter
733,1124,Nut Brown
734,1124,Amber Ale
735,1124,Hefe Weizen
736,1124,Maibock
737,1124,Sequoia Red
738,1124,Homeport Blonde
739,1151,Skibbereen Stout
740,1151,Red Card Lager
741,1151,Navidad
742,1151,Free Bike Amber
743,1151,Highwater Porter
744,1151,Skagit Brown Ale
745,1151,Yellowjacket Pale Ale
746,1151,Dutch Girl Lager
747,1151,Del Rio Lager
748,504,Barleywine
749,504,Imperial Pale
750,504,Spring Bock
751,504,Irish Stout
752,504,India Pale Ale
753,504,Porter
754,504,Firehouse Red
755,504,Tacoma Brew
756,504,Hefeweizen
757,504,Belgian White
